n_Apartment,Peak power (kW/kWh)
1,0.1560353376823066
2,0.07831050228310502
3,0.05220700152207001
4,0.03915525114155251
5,0.031324200913242006
6,0.026103500761035004
7,0.022374429223744288
8,0.019577625570776254
9,0.017402333840690003
10,0.015662100456621003
11,0.01423827314238273
12,0.013051750380517502
13,0.012047769582016156
14,0.011187214611872144
15,0.010441400304414003
16,0.009788812785388127
17,0.00921300026860059
18,0.008701166920345001
19,0.008243210766642632
20,0.007831050228310502
21,0.00745814307458143
22,0.007119136571191365
23,0.006809608894183044
24,0.006525875190258751
25,0.006264840182648401
26,0.006023884791008078
27,0.005800777946896667
28,0.005593607305936072
29,0.005400724295386553
30,0.005220700152207001
31,0.005052290469877743
32,0.0048944063926940635
33,0.004746091047460909
34,0.004606500134300295
35,0.004474885844748858
36,0.004350583460172501
37,0.0042330001234110815
38,0.004121605383321316
39,0.004015923194005385
40,0.003915525114155251
41,0.003820024501614879
42,0.003729071537290715
43,0.0036423489434002335
44,0.0035595682855956825
45,0.0034804667681380005
46,0.003404804447091522
47,0.0033323617992810643
48,0.0032629375951293755
49,0.00319634703196347
50,0.0031324200913242007
60,0.0026103500761035007
70,0.002237442922374429
80,0.0019577625570776254
90,0.0017402333840690002
100,0.0015662100456621004
200,0.0007831050228310502
1000,0.0003496005490496428
