n_Apartment,Peak power (kW/kWh)
1,0.03406530181713573
2,0.021227739726027397
3,0.014282343987823439
4,0.010194349315068492
5,0.01256324200913242
6,0.010795662100456621
7,0.009173515981735159
8,0.007998858447488584
9,0.005475520040588534
10,0.006533333333333333
11,0.006086861768368617
12,0.005579623287671233
13,0.005103090972953987
14,0.00473458904109589
15,0.0044487823439878236
16,0.004097317351598173
17,0.003862879398334676
18,0.0036109842719431757
19,0.0035210285988944963
20,0.0033365867579908674
21,0.0031936834094368335
22,0.0030256330427563304
23,0.002896521821218805
24,0.0027944729832572296
25,0.002675981735159817
26,0.0025795135230066734
27,0.0024777608658887195
28,0.0023952625570776253
29,0.0023126672964887416
30,0.002220662100456621
31,0.0021598541758727353
32,0.002088862728310502
33,0.002030648955306489
34,0.0019692788074133763
35,0.0019178082191780822
36,0.001862981988838153
37,0.001811127720262805
38,0.0017649303052150924
39,0.0017182414237208756
40,0.0016766837899543378
41,0.001637153357834948
42,0.001598173515981735
43,0.0015610066900286713
44,0.0015255292652552926
45,0.0014916286149162861
46,0.0014592019058963666
47,0.001428155056834742
48,0.001398403023746881
49,0.00136986301369863
50,0.0013424657534246574
60,0.0011187214611872145
70,0.0009988584474885844
80,0.000839041095890411
90,0.0007458143074581431
100,0.0006712328767123287
200,0.0003496011151162556
1000,0.0003496008636905034
