,isin,recommendation,name,full_name,symbol
0,TN0007250012,Consolider,ADWYA,Societe Adwya,ADWYA
1,TN0007500010,Alléger,Ae Tech,Ae Tech,AETEC
2,TN0002300358,Conserver,AIR LIQUIDE Tun,Air Liquide Tunisie,AL
3,TN0003800703,Conserver,AL KIMIA,Societe Chimique,ALKM
4,TN0003400058,Consolider,AMEN BANK,Amen Bank,AB
5,TN0001500859,Vendre,Ateliers Mecaniques Sahel,Societe Les Ateliers Mecaniques du Sahel SA,AMS
6,TN0007300015,Consolider,ARTES RENAULT,ARTES RENAULT,ARTES
7,TN0007140015,Consolider,ASSAD,Societe L'Accumulateur Tunisien,ASSAD
8,TN0003000452,Consolider,ASTREE SA,ASTREE SA,AST
9,TN0003600350,Acheter,ATB,Arab Tunisian Bank,ATB
10,TN0007740012,Acheter,Atelier Meuble Interieurs,Atelier du Meuble Interieurs SA,SAMAA
11,TN0004700100,Acheter,ATL,Arab Tunisian Lease,ATL
12,TN0001600154,Acheter,ATTIJARI BANK,Banque Attijari De Tunisie,BS
13,TN0006610018,Conserver,ATTIJARI LEASING,Attijari Leasing,TJL
14,TN0007580012,Conserver,Best Lease,Best Lease,BL
15,TN0006550016,Consolider,Ste Assurance Salim,Ste Assurance Salim SA,BHASS
16,TN0001900604,Consolider,BH,Banque De L'Habitat,BH
17,TN0006720049,Allèger,Modern Leasing,Modern Leasing,ML
18,TN0001800457,Acheter,BIAT,Banque Internationale Arabe Tunisie,BIAT
19,TN0003100609,Conserver,BNA,Banque Nationale Agricole,BNA
20,TN0002200053,Consolider,BT,Banque De Tunisie,BT
21,TN0001300557,Allèger,BTEI,Banque De Tunisie Et Des Emirats,BTEI
22,TN0007400013,Consolider,Carthage Cement,Carthage Cement,CC
23,TN0007590011,Allèger,Cellcom,Cellcom,CELL
24,TN0007640014,Acheter,Cerealis Sa,Cerealis Sa,CREAL
25,TN0004200853,Acheter,CIL,Compagnie Internationale De Leasing,CIL
26,TN0007350010,Consolider,Les Ciments de Bizerte,Les Ciments De Bizerte,SCB
27,TN0007550015,Consolider,City Cars,City Cars,CITY
28,TN0007670011,Acheter,Societe Delice Holding,Societe Delice Holding,DH
29,TN0006650014,Vendre,ELECTROSTAR,Electrostar,LSTR
30,TN0007410012,Conserver,Ennakl Automobiles,Ennakl Automobiles SA,NAKL
31,TN0007210016,Conserver,ESSOUKNA,Essoukna,SOKNA
32,TN0007570013,Acheter,Euro-Cycles,Euro-Cycles,ECYCL
33,TN0007130016,Vendre,GIF FILTRATION,GIF FILTRATION,GIF
34,TN0007310139,Conserver,Hannibal Lease,Hannibal Lease,HANL
35,TN0003200755,Conserver,ICF,Les Industries Chimiques du Fluor,ICF
36,TN0007510019,Acheter,Land Or,Land Or,LNDOR
37,TN0006440010,Conserver,MAGASIN GENERAL,Magasin General,SMG
38,TN0007660012,Vendre,Maghreb Inter Publicite,Maghreb Inter Publicite,MIP
39,TN0001000108,Conserver,MONOPRIX,MONOPRIX,MNP
40,TN0007620016,Consolider,Mpbs,Mpbs,MPBS
41,TN0007540016,Acheter,New Body Li,New Body Li,NBL
42,TN0007700016,Conserver,OfficePlast,OfficePlast,PLAST
43,TN0007530017,Acheter,One Tech Ho,One Tech Ho,OTH
44,TN0002500650,Conserver,PLACEMENT DE TUNISIE,Placements De Tunisie - Sicaf,PLTU
45,TN0005700018,Acheter,POULINA GROUP HLD,Poulina Group Holding,POULA
46,TN0007610017,Acheter,Sah,Sah,SAH
47,TN0007730013,Conserver,Sanimed SA,Sanimed SA,SMD
48,TN0007340011,Vendre,SERVICOM,Servicom,SERVI
49,TN0001100254,Acheter,SFBT,Societe Frigorifique Et Brasserie,SFBT
50,TN0006590012,Conserver,SIAME,Societe Industrielle D'Appareillage,SIAM
51,TN0004000055,Conserver,SIMPAR,Ste Immobilere et de Participations,SIMP
52,TN0006670012,Allèger,SIPHAT,Societe Des Industries Pharma,SIPHA
53,TN0007180011,Conserver,SITS,Ste Immobiliere Tuniso Seoudienne,SITS
54,TN0006780019,Conserver,SOMOCER,Societe Moderne De Ceramique,SOMOC
55,TN0007290018,Conserver,SOPAT,Ste De Production Agricole Teboulba,SOPAT
56,TN0007600018,Conserver,Sotemail,Sotemail,SOTEM
57,TN0006530018,Vendre,SOTETEL,Société Tunisienne d'Entreprises de Télécommunication,SOTE
58,TN0007630015,Acheter,Sotipapier,Sotipapier,STPAP
59,TN0006660013,Acheter,SOTRAPIL,Ste de Transport par Pipelines,STPIL
60,TN0006580013,Consolider,SOTUMAG,Ste Tunisienne des Marches de Gros,MGR
61,TN0006560015,Acheter,SOTUVER,Societe Tunisienne De Verreries,STVR
62,TN0001400704,Acheter,SPDIT-SICAF,SPDIT-SICAF,SPDI
63,TN0006060016,Consolider,STAR,STAR,STAR
64,TN0002600955,Conserver,S.T.B,Societe Tunisienne De Banque,STB
65,TN0005030010,Vendre,STIP,Ste Tun Des Industries Pneumatiques,STIP
66,TN0007650013,Vendre,Tawasol Group Holding SA,Tawasol Group Holding SA,TGH
67,TN0007440019,Consolider,TELNET,Telnet Holding,TLNET
68,TN0007270010,Acheter,TPR,Societe Tunisie Profiles Aluminium,TPR
69,TN0004100202,Acheter,TUN INVEST - SICAR,TUN INVEST - SICAR,TINV
70,TN0007380017,Consolider,Tunis Re,Tunis Re,TRE
71,TN0001200401,Alléger,TUNIS AIR,Societe Tunisienne De L'Air,TAIR
72,TN0002100907,Acheter,TUNISIE LEASING,Tunisie Leasing,TLS
73,TN0007690019,Allèger,Universal Auto Distributors Holding,Universal Auto Distributors Holding SA,UADH
74,TN0002400505,Conserver,UBCI,UBCI,UBCI
75,TN0003900107,Consolider,UIB,Union Internationale De Banques,UIB
76,TN0007720014,Acheter,Unimed,Unimed SA,UMED
77,TN0007200017,Conserver,EL WIFACK LEASING,El Wifack Leasing,WIFAK
