ID	number_of_datasets	link
H3K4me3	858	?type=Experiment&target.label=H3K4me3
H3K27ac	761	?type=Experiment&target.label=H3K27ac
H3K27me3	718	?type=Experiment&target.label=H3K27me3
H3K4me1	691	?type=Experiment&target.label=H3K4me1
H3K36me3	671	?type=Experiment&target.label=H3K36me3
H3K9me3	643	?type=Experiment&target.label=H3K9me3
CTCF	612	?type=Experiment&target.label=CTCF
POLR2A	225	?type=Experiment&target.label=POLR2A
H3K9ac	203	?type=Experiment&target.label=H3K9ac
H3K4me2	146	?type=Experiment&target.label=H3K4me2
EP300	97	?type=Experiment&target.label=EP300
RAD21	80	?type=Experiment&target.label=RAD21
H3K79me2	56	?type=Experiment&target.label=H3K79me2
Methylcytidine	55	?type=Experiment&target.label=Methylcytidine
H4K20me1	54	?type=Experiment&target.label=H4K20me1
H2AFZ	51	?type=Experiment&target.label=H2AFZ
POLR2AphosphoS5	49	?type=Experiment&target.label=POLR2AphosphoS5
JUN	33	?type=Experiment&target.label=JUN
NR3C1	33	?type=Experiment&target.label=NR3C1
REST	32	?type=Experiment&target.label=REST
CEBPB	30	?type=Experiment&target.label=CEBPB
EZH2	29	?type=Experiment&target.label=EZH2
MAX	29	?type=Experiment&target.label=MAX
MYC	27	?type=Experiment&target.label=MYC
SMC3	22	?type=Experiment&target.label=SMC3
JUND	21	?type=Experiment&target.label=JUND
FOSL2	19	?type=Experiment&target.label=FOSL2
GATA1	19	?type=Experiment&target.label=GATA1
H3K9me2	19	?type=Experiment&target.label=H3K9me2
USF1	19	?type=Experiment&target.label=USF1
ama-1	19	?type=Experiment&target.label=ama-1
GABPA	18	?type=Experiment&target.label=GABPA
JUNB	18	?type=Experiment&target.label=JUNB
YY1	18	?type=Experiment&target.label=YY1
ELF1	17	?type=Experiment&target.label=ELF1
EZH2phosphoT487	17	?type=Experiment&target.label=EZH2phosphoT487
BCL3	16	?type=Experiment&target.label=BCL3
CREB1	16	?type=Experiment&target.label=CREB1
H3F3A	16	?type=Experiment&target.label=H3F3A
SIN3A	16	?type=Experiment&target.label=SIN3A
SP1	16	?type=Experiment&target.label=SP1
TAF1	16	?type=Experiment&target.label=TAF1
TARDBP	16	?type=Experiment&target.label=TARDBP
ZBTB33	16	?type=Experiment&target.label=ZBTB33
ATF3	15	?type=Experiment&target.label=ATF3
CHD1	15	?type=Experiment&target.label=CHD1
MAFK	15	?type=Experiment&target.label=MAFK
MAZ	15	?type=Experiment&target.label=MAZ
RELA	15	?type=Experiment&target.label=RELA
SRF	15	?type=Experiment&target.label=SRF
SUZ12	15	?type=Experiment&target.label=SUZ12
TCF12	15	?type=Experiment&target.label=TCF12
USF2	15	?type=Experiment&target.label=USF2
bromodeoxyuridine	15	?type=Experiment&target.label=bromodeoxyuridine
EGR1	14	?type=Experiment&target.label=EGR1
ELAVL1	14	?type=Experiment&target.label=ELAVL1
NRF1	14	?type=Experiment&target.label=NRF1
E2F4	13	?type=Experiment&target.label=E2F4
FOS	13	?type=Experiment&target.label=FOS
FOXA1	13	?type=Experiment&target.label=FOXA1
GTF2F1	13	?type=Experiment&target.label=GTF2F1
BHLHE40	12	?type=Experiment&target.label=BHLHE40
Cebpa	12	?type=Experiment&target.label=Cebpa
HDAC2	12	?type=Experiment&target.label=HDAC2
HES2	12	?type=Experiment&target.label=HES2
IGF2BP1	12	?type=Experiment&target.label=IGF2BP1
NONO	12	?type=Experiment&target.label=NONO
RCOR1	12	?type=Experiment&target.label=RCOR1
TEAD4	12	?type=Experiment&target.label=TEAD4
ZNF274	12	?type=Experiment&target.label=ZNF274
nej	12	?type=Experiment&target.label=nej
pqm-1	12	?type=Experiment&target.label=pqm-1
CHD2	11	?type=Experiment&target.label=CHD2
GATA2	11	?type=Experiment&target.label=GATA2
MXI1	11	?type=Experiment&target.label=MXI1
PABPC1	11	?type=Experiment&target.label=PABPC1
TAL1	11	?type=Experiment&target.label=TAL1
elt-3	11	?type=Experiment&target.label=elt-3
ATF2	10	?type=Experiment&target.label=ATF2
ESR1	10	?type=Experiment&target.label=ESR1
RFX5	10	?type=Experiment&target.label=RFX5
RNF2	10	?type=Experiment&target.label=RNF2
ZC3H11A	10	?type=Experiment&target.label=ZC3H11A
ZFX	10	?type=Experiment&target.label=ZFX
ZNF143	10	?type=Experiment&target.label=ZNF143
ces-1	10	?type=Experiment&target.label=ces-1
dve-1	10	?type=Experiment&target.label=dve-1
fkh-10	10	?type=Experiment&target.label=fkh-10
snpc-4	10	?type=Experiment&target.label=snpc-4
BACH1	9	?type=Experiment&target.label=BACH1
BCLAF1	9	?type=Experiment&target.label=BCLAF1
BRCA1	9	?type=Experiment&target.label=BRCA1
E2F1	9	?type=Experiment&target.label=E2F1
ELK1	9	?type=Experiment&target.label=ELK1
ETS1	9	?type=Experiment&target.label=ETS1
FOXM1	9	?type=Experiment&target.label=FOXM1
H3K79me1	9	?type=Experiment&target.label=H3K79me1
H4K8ac	9	?type=Experiment&target.label=H4K8ac
HDAC1	9	?type=Experiment&target.label=HDAC1
KDM1A	9	?type=Experiment&target.label=KDM1A
NR2C2	9	?type=Experiment&target.label=NR2C2
POLR2AphosphoS2	9	?type=Experiment&target.label=POLR2AphosphoS2
PTBP1	9	?type=Experiment&target.label=PTBP1
SRSF9	9	?type=Experiment&target.label=SRSF9
STAT1	9	?type=Experiment&target.label=STAT1
T7	9	?type=Experiment&target.label=T7
TCF7L2	9	?type=Experiment&target.label=TCF7L2
UBTF	9	?type=Experiment&target.label=UBTF
ZNF24	9	?type=Experiment&target.label=ZNF24
ZNF384	9	?type=Experiment&target.label=ZNF384
blmp-1	9	?type=Experiment&target.label=blmp-1
mab-5	9	?type=Experiment&target.label=mab-5
pha-4	9	?type=Experiment&target.label=pha-4
unc-62	9	?type=Experiment&target.label=unc-62
ESRRA	8	?type=Experiment&target.label=ESRRA
FUS	8	?type=Experiment&target.label=FUS
GATA3	8	?type=Experiment&target.label=GATA3
H2BK12ac	8	?type=Experiment&target.label=H2BK12ac
H3K18ac	8	?type=Experiment&target.label=H3K18ac
H3K23ac	8	?type=Experiment&target.label=H3K23ac
H3K4ac	8	?type=Experiment&target.label=H3K4ac
HCFC1	8	?type=Experiment&target.label=HCFC1
HNRNPK	8	?type=Experiment&target.label=HNRNPK
Orc2	8	?type=Experiment&target.label=Orc2
SMARCA4	8	?type=Experiment&target.label=SMARCA4
TAF15	8	?type=Experiment&target.label=TAF15
TBP	8	?type=Experiment&target.label=TBP
ceh-14	8	?type=Experiment&target.label=ceh-14
ceh-9	8	?type=Experiment&target.label=ceh-9
lin-11	8	?type=Experiment&target.label=lin-11
pag-3	8	?type=Experiment&target.label=pag-3
rnt-1	8	?type=Experiment&target.label=rnt-1
sox-4	8	?type=Experiment&target.label=sox-4
unc-86	8	?type=Experiment&target.label=unc-86
ARID3A	7	?type=Experiment&target.label=ARID3A
C08G9.2	7	?type=Experiment&target.label=C08G9.2
ETV6	7	?type=Experiment&target.label=ETV6
FOSL1	7	?type=Experiment&target.label=FOSL1
FOXK2	7	?type=Experiment&target.label=FOXK2
FXR2	7	?type=Experiment&target.label=FXR2
H2AK5ac	7	?type=Experiment&target.label=H2AK5ac
H2BK120ac	7	?type=Experiment&target.label=H2BK120ac
H2BK15ac	7	?type=Experiment&target.label=H2BK15ac
H2BK5ac	7	?type=Experiment&target.label=H2BK5ac
H3K14ac	7	?type=Experiment&target.label=H3K14ac
HDGF	7	?type=Experiment&target.label=HDGF
HNF4A	7	?type=Experiment&target.label=HNF4A
HNRNPL	7	?type=Experiment&target.label=HNRNPL
HNRNPU	7	?type=Experiment&target.label=HNRNPU
IKZF1	7	?type=Experiment&target.label=IKZF1
IRF1	7	?type=Experiment&target.label=IRF1
KHSRP	7	?type=Experiment&target.label=KHSRP
LARP7	7	?type=Experiment&target.label=LARP7
MNT	7	?type=Experiment&target.label=MNT
PCBP1	7	?type=Experiment&target.label=PCBP1
RBFOX2	7	?type=Experiment&target.label=RBFOX2
RBM22	7	?type=Experiment&target.label=RBM22
RXRA	7	?type=Experiment&target.label=RXRA
SETDB1	7	?type=Experiment&target.label=SETDB1
SFPQ	7	?type=Experiment&target.label=SFPQ
SRSF4	7	?type=Experiment&target.label=SRSF4
SRSF7	7	?type=Experiment&target.label=SRSF7
STAT3	7	?type=Experiment&target.label=STAT3
TRIM28	7	?type=Experiment&target.label=TRIM28
U2AF2	7	?type=Experiment&target.label=U2AF2
XRCC6	7	?type=Experiment&target.label=XRCC6
Y22D7AL.16	7	?type=Experiment&target.label=Y22D7AL.16
ZBTB11	7	?type=Experiment&target.label=ZBTB11
ZBTB40	7	?type=Experiment&target.label=ZBTB40
ZC3H8	7	?type=Experiment&target.label=ZC3H8
ceh-18	7	?type=Experiment&target.label=ceh-18
ceh-2	7	?type=Experiment&target.label=ceh-2
ceh-24	7	?type=Experiment&target.label=ceh-24
ceh-30	7	?type=Experiment&target.label=ceh-30
ceh-31	7	?type=Experiment&target.label=ceh-31
efl-1	7	?type=Experiment&target.label=efl-1
elt-4	7	?type=Experiment&target.label=elt-4
eyg-1	7	?type=Experiment&target.label=eyg-1
fax-1	7	?type=Experiment&target.label=fax-1
fkh-6	7	?type=Experiment&target.label=fkh-6
gmeb-2	7	?type=Experiment&target.label=gmeb-2
ham-2	7	?type=Experiment&target.label=ham-2
hlh-15	7	?type=Experiment&target.label=hlh-15
lim-6	7	?type=Experiment&target.label=lim-6
lsy-2	7	?type=Experiment&target.label=lsy-2
mdl-1	7	?type=Experiment&target.label=mdl-1
mec-3	7	?type=Experiment&target.label=mec-3
tbx-7	7	?type=Experiment&target.label=tbx-7
ttx-3	7	?type=Experiment&target.label=ttx-3
unc-3	7	?type=Experiment&target.label=unc-3
unc-42	7	?type=Experiment&target.label=unc-42
zip-5	7	?type=Experiment&target.label=zip-5
ARNT	6	?type=Experiment&target.label=ARNT
ATF4	6	?type=Experiment&target.label=ATF4
CBX3	6	?type=Experiment&target.label=CBX3
CEBPZ	6	?type=Experiment&target.label=CEBPZ
CELF1	6	?type=Experiment&target.label=CELF1
CHD4	6	?type=Experiment&target.label=CHD4
DGCR8	6	?type=Experiment&target.label=DGCR8
DPF2	6	?type=Experiment&target.label=DPF2
DROSHA	6	?type=Experiment&target.label=DROSHA
E2F6	6	?type=Experiment&target.label=E2F6
E4F1	6	?type=Experiment&target.label=E4F1
ELF4	6	?type=Experiment&target.label=ELF4
FOXA2	6	?type=Experiment&target.label=FOXA2
FUBP3	6	?type=Experiment&target.label=FUBP3
H4K91ac	6	?type=Experiment&target.label=H4K91ac
HNRNPC	6	?type=Experiment&target.label=HNRNPC
HNRNPH1	6	?type=Experiment&target.label=HNRNPH1
HNRNPUL1	6	?type=Experiment&target.label=HNRNPUL1
Hr51	6	?type=Experiment&target.label=Hr51
IGF2BP3	6	?type=Experiment&target.label=IGF2BP3
MEF2A	6	?type=Experiment&target.label=MEF2A
NFE2L2	6	?type=Experiment&target.label=NFE2L2
NFYA	6	?type=Experiment&target.label=NFYA
NFYB	6	?type=Experiment&target.label=NFYB
NR2F2	6	?type=Experiment&target.label=NR2F2
NR2F6	6	?type=Experiment&target.label=NR2F6
PCBP2	6	?type=Experiment&target.label=PCBP2
PHF8	6	?type=Experiment&target.label=PHF8
PRPF4	6	?type=Experiment&target.label=PRPF4
RBM15	6	?type=Experiment&target.label=RBM15
RBM25	6	?type=Experiment&target.label=RBM25
SAFB2	6	?type=Experiment&target.label=SAFB2
SIX5	6	?type=Experiment&target.label=SIX5
SMAD4	6	?type=Experiment&target.label=SMAD4
SP2	6	?type=Experiment&target.label=SP2
SREBF1	6	?type=Experiment&target.label=SREBF1
SRSF1	6	?type=Experiment&target.label=SRSF1
TBL1XR1	6	?type=Experiment&target.label=TBL1XR1
TIA1	6	?type=Experiment&target.label=TIA1
TRA2A	6	?type=Experiment&target.label=TRA2A
Trl	6	?type=Experiment&target.label=Trl
U2AF1	6	?type=Experiment&target.label=U2AF1
YBX1	6	?type=Experiment&target.label=YBX1
ZFP36	6	?type=Experiment&target.label=ZFP36
ZKSCAN1	6	?type=Experiment&target.label=ZKSCAN1
ZNF217	6	?type=Experiment&target.label=ZNF217
ZNF639	6	?type=Experiment&target.label=ZNF639
ceh-82	6	?type=Experiment&target.label=ceh-82
dpl-1	6	?type=Experiment&target.label=dpl-1
nfya-1	6	?type=Experiment&target.label=nfya-1
ztf-11	6	?type=Experiment&target.label=ztf-11
AGGF1	5	?type=Experiment&target.label=AGGF1
ATF1	5	?type=Experiment&target.label=ATF1
ATF7	5	?type=Experiment&target.label=ATF7
Blimp-1	5	?type=Experiment&target.label=Blimp-1
CBX2	5	?type=Experiment&target.label=CBX2
CEBPG	5	?type=Experiment&target.label=CEBPG
CG9876	5	?type=Experiment&target.label=CG9876
CHD7	5	?type=Experiment&target.label=CHD7
CREM	5	?type=Experiment&target.label=CREM
CSDE1	5	?type=Experiment&target.label=CSDE1
CTBP1	5	?type=Experiment&target.label=CTBP1
CUX1	5	?type=Experiment&target.label=CUX1
DDX20	5	?type=Experiment&target.label=DDX20
DDX21	5	?type=Experiment&target.label=DDX21
DDX55	5	?type=Experiment&target.label=DDX55
DDX6	5	?type=Experiment&target.label=DDX6
DNMT1	5	?type=Experiment&target.label=DNMT1
EWSR1	5	?type=Experiment&target.label=EWSR1
EcR	5	?type=Experiment&target.label=EcR
FUBP1	5	?type=Experiment&target.label=FUBP1
HLTF	5	?type=Experiment&target.label=HLTF
HNRNPF	5	?type=Experiment&target.label=HNRNPF
HSF1	5	?type=Experiment&target.label=HSF1
IGF2BP2	5	?type=Experiment&target.label=IGF2BP2
ILF3	5	?type=Experiment&target.label=ILF3
IRF3	5	?type=Experiment&target.label=IRF3
KAT2B	5	?type=Experiment&target.label=KAT2B
KDM5A	5	?type=Experiment&target.label=KDM5A
LIN28B	5	?type=Experiment&target.label=LIN28B
MATR3	5	?type=Experiment&target.label=MATR3
MTA3	5	?type=Experiment&target.label=MTA3
MYNN	5	?type=Experiment&target.label=MYNN
NCOR1	5	?type=Experiment&target.label=NCOR1
NELFE	5	?type=Experiment&target.label=NELFE
NFE2	5	?type=Experiment&target.label=NFE2
NFIC	5	?type=Experiment&target.label=NFIC
NFRKB	5	?type=Experiment&target.label=NFRKB
NKRF	5	?type=Experiment&target.label=NKRF
NR1H2	5	?type=Experiment&target.label=NR1H2
PAX5	5	?type=Experiment&target.label=PAX5
POLR2G	5	?type=Experiment&target.label=POLR2G
POU5F1	5	?type=Experiment&target.label=POU5F1
PRPF8	5	?type=Experiment&target.label=PRPF8
RFX1	5	?type=Experiment&target.label=RFX1
RPS3	5	?type=Experiment&target.label=RPS3
SAFB	5	?type=Experiment&target.label=SAFB
SF1	5	?type=Experiment&target.label=SF1
SLBP	5	?type=Experiment&target.label=SLBP
SMAD5	5	?type=Experiment&target.label=SMAD5
SPI1	5	?type=Experiment&target.label=SPI1
SREBF2	5	?type=Experiment&target.label=SREBF2
SRSF5	5	?type=Experiment&target.label=SRSF5
Sox102F	5	?type=Experiment&target.label=Sox102F
Su(H)	5	?type=Experiment&target.label=Su(H)
TFDP1	5	?type=Experiment&target.label=TFDP1
TOE1	5	?type=Experiment&target.label=TOE1
TROVE2	5	?type=Experiment&target.label=TROVE2
WDR5	5	?type=Experiment&target.label=WDR5
XRCC5	5	?type=Experiment&target.label=XRCC5
XRN2	5	?type=Experiment&target.label=XRN2
YBX3	5	?type=Experiment&target.label=YBX3
ZBTB7A	5	?type=Experiment&target.label=ZBTB7A
ZMIZ1	5	?type=Experiment&target.label=ZMIZ1
ZNF263	5	?type=Experiment&target.label=ZNF263
ZNF800	5	?type=Experiment&target.label=ZNF800
bsh	5	?type=Experiment&target.label=bsh
cad	5	?type=Experiment&target.label=cad
cnc	5	?type=Experiment&target.label=cnc
egl-27	5	?type=Experiment&target.label=egl-27
h	5	?type=Experiment&target.label=h
kay	5	?type=Experiment&target.label=kay
lin-35	5	?type=Experiment&target.label=lin-35
lola	5	?type=Experiment&target.label=lola
nhr-11	5	?type=Experiment&target.label=nhr-11
