ID	number_of_datasets	link
nhr-237	5	?type=Experiment&target.label=nhr-237
pan	5	?type=Experiment&target.label=pan
psq	5	?type=Experiment&target.label=psq
ss	5	?type=Experiment&target.label=ss
AGO1	4	?type=Experiment&target.label=AGO1
AKAP1	4	?type=Experiment&target.label=AKAP1
AKAP8L	4	?type=Experiment&target.label=AKAP8L
APOBEC3C	4	?type=Experiment&target.label=APOBEC3C
AQR	4	?type=Experiment&target.label=AQR
ARID4B	4	?type=Experiment&target.label=ARID4B
AUH	4	?type=Experiment&target.label=AUH
BCL11A	4	?type=Experiment&target.label=BCL11A
BMI1	4	?type=Experiment&target.label=BMI1
BRD4	4	?type=Experiment&target.label=BRD4
BUD13	4	?type=Experiment&target.label=BUD13
CBFB	4	?type=Experiment&target.label=CBFB
CBX5	4	?type=Experiment&target.label=CBX5
CBX8	4	?type=Experiment&target.label=CBX8
CCAR2	4	?type=Experiment&target.label=CCAR2
CG33557	4	?type=Experiment&target.label=CG33557
CHCHD3	4	?type=Experiment&target.label=CHCHD3
CIRBP	4	?type=Experiment&target.label=CIRBP
CPSF6	4	?type=Experiment&target.label=CPSF6
CPSF7	4	?type=Experiment&target.label=CPSF7
CREBBP	4	?type=Experiment&target.label=CREBBP
CSTF2T	4	?type=Experiment&target.label=CSTF2T
DAZAP1	4	?type=Experiment&target.label=DAZAP1
DDX3X	4	?type=Experiment&target.label=DDX3X
DDX47	4	?type=Experiment&target.label=DDX47
DDX52	4	?type=Experiment&target.label=DDX52
DDX59	4	?type=Experiment&target.label=DDX59
DHX30	4	?type=Experiment&target.label=DHX30
Dfd	4	?type=Experiment&target.label=Dfd
E2F5	4	?type=Experiment&target.label=E2F5
E2F8	4	?type=Experiment&target.label=E2F8
EFTUD2	4	?type=Experiment&target.label=EFTUD2
EIF3D	4	?type=Experiment&target.label=EIF3D
EIF3H	4	?type=Experiment&target.label=EIF3H
EIF4A3	4	?type=Experiment&target.label=EIF4A3
EIF4G2	4	?type=Experiment&target.label=EIF4G2
ERF	4	?type=Experiment&target.label=ERF
ERR	4	?type=Experiment&target.label=ERR
EXOSC5	4	?type=Experiment&target.label=EXOSC5
Ets65A	4	?type=Experiment&target.label=Ets65A
FAM120A	4	?type=Experiment&target.label=FAM120A
FASTKD2	4	?type=Experiment&target.label=FASTKD2
FIP1L1	4	?type=Experiment&target.label=FIP1L1
FMR1	4	?type=Experiment&target.label=FMR1
FOXJ3	4	?type=Experiment&target.label=FOXJ3
FOXP1	4	?type=Experiment&target.label=FOXP1
FTO	4	?type=Experiment&target.label=FTO
FXR1	4	?type=Experiment&target.label=FXR1
G3BP1	4	?type=Experiment&target.label=G3BP1
GATAD2B	4	?type=Experiment&target.label=GATAD2B
GRWD1	4	?type=Experiment&target.label=GRWD1
H3K56ac	4	?type=Experiment&target.label=H3K56ac
H3K9me1	4	?type=Experiment&target.label=H3K9me1
H4K5ac	4	?type=Experiment&target.label=H4K5ac
HDAC6	4	?type=Experiment&target.label=HDAC6
HLH54F	4	?type=Experiment&target.label=HLH54F
HNRNPA1	4	?type=Experiment&target.label=HNRNPA1
HNRNPM	4	?type=Experiment&target.label=HNRNPM
Hr3	4	?type=Experiment&target.label=Hr3
ILF2	4	?type=Experiment&target.label=ILF2
IRF2	4	?type=Experiment&target.label=IRF2
KAT2A	4	?type=Experiment&target.label=KAT2A
LARP4	4	?type=Experiment&target.label=LARP4
LSM11	4	?type=Experiment&target.label=LSM11
MAFF	4	?type=Experiment&target.label=MAFF
MBD1	4	?type=Experiment&target.label=MBD1
MLLT1	4	?type=Experiment&target.label=MLLT1
MTA2	4	?type=Experiment&target.label=MTA2
MYBL2	4	?type=Experiment&target.label=MYBL2
MYOD1	4	?type=Experiment&target.label=MYOD1
MYOG	4	?type=Experiment&target.label=MYOG
NBN	4	?type=Experiment&target.label=NBN
NCBP2	4	?type=Experiment&target.label=NCBP2
NCOA1	4	?type=Experiment&target.label=NCOA1
NFATC3	4	?type=Experiment&target.label=NFATC3
NFE2L1	4	?type=Experiment&target.label=NFE2L1
NFXL1	4	?type=Experiment&target.label=NFXL1
NIP7	4	?type=Experiment&target.label=NIP7
NOLC1	4	?type=Experiment&target.label=NOLC1
NPM1	4	?type=Experiment&target.label=NPM1
NR2F1	4	?type=Experiment&target.label=NR2F1
NR4A1	4	?type=Experiment&target.label=NR4A1
NSUN2	4	?type=Experiment&target.label=NSUN2
PATZ1	4	?type=Experiment&target.label=PATZ1
PAX8	4	?type=Experiment&target.label=PAX8
PBX2	4	?type=Experiment&target.label=PBX2
PBX3	4	?type=Experiment&target.label=PBX3
PES1	4	?type=Experiment&target.label=PES1
PKNOX1	4	?type=Experiment&target.label=PKNOX1
PPIL4	4	?type=Experiment&target.label=PPIL4
PPP1R10	4	?type=Experiment&target.label=PPP1R10
PUM1	4	?type=Experiment&target.label=PUM1
QKI	4	?type=Experiment&target.label=QKI
RAD51	4	?type=Experiment&target.label=RAD51
RB1	4	?type=Experiment&target.label=RB1
RBBP5	4	?type=Experiment&target.label=RBBP5
RBM17	4	?type=Experiment&target.label=RBM17
RBM39	4	?type=Experiment&target.label=RBM39
RpII215	4	?type=Experiment&target.label=RpII215
SDAD1	4	?type=Experiment&target.label=SDAD1
SF3B1	4	?type=Experiment&target.label=SF3B1
SF3B4	4	?type=Experiment&target.label=SF3B4
SLTM	4	?type=Experiment&target.label=SLTM
SMAD3	4	?type=Experiment&target.label=SMAD3
SMNDC1	4	?type=Experiment&target.label=SMNDC1
SND1	4	?type=Experiment&target.label=SND1
SRSF3	4	?type=Experiment&target.label=SRSF3
SSB	4	?type=Experiment&target.label=SSB
STAT5A	4	?type=Experiment&target.label=STAT5A
SUPV3L1	4	?type=Experiment&target.label=SUPV3L1
Sox14	4	?type=Experiment&target.label=Sox14
Stat92E	4	?type=Experiment&target.label=Stat92E
TBRG4	4	?type=Experiment&target.label=TBRG4
TCF3	4	?type=Experiment&target.label=TCF3
TCF7	4	?type=Experiment&target.label=TCF7
TEAD1	4	?type=Experiment&target.label=TEAD1
TIAL1	4	?type=Experiment&target.label=TIAL1
TRIM22	4	?type=Experiment&target.label=TRIM22
UCHL5	4	?type=Experiment&target.label=UCHL5
UPF1	4	?type=Experiment&target.label=UPF1
UTP18	4	?type=Experiment&target.label=UTP18
UTP3	4	?type=Experiment&target.label=UTP3
WDR43	4	?type=Experiment&target.label=WDR43
Xbp1	4	?type=Experiment&target.label=Xbp1
ZEB1	4	?type=Experiment&target.label=ZEB1
ZHX1	4	?type=Experiment&target.label=ZHX1
ZK546.5	4	?type=Experiment&target.label=ZK546.5
ZNF184	4	?type=Experiment&target.label=ZNF184
ZNF331	4	?type=Experiment&target.label=ZNF331
ZNF335	4	?type=Experiment&target.label=ZNF335
ZNF354C	4	?type=Experiment&target.label=ZNF354C
ZNF512	4	?type=Experiment&target.label=ZNF512
ZNF574	4	?type=Experiment&target.label=ZNF574
ZNF592	4	?type=Experiment&target.label=ZNF592
ZNF707	4	?type=Experiment&target.label=ZNF707
ZNF740	4	?type=Experiment&target.label=ZNF740
ZNF8	4	?type=Experiment&target.label=ZNF8
ZNF830	4	?type=Experiment&target.label=ZNF830
ZRANB2	4	?type=Experiment&target.label=ZRANB2
ZSCAN29	4	?type=Experiment&target.label=ZSCAN29
ZZZ3	4	?type=Experiment&target.label=ZZZ3
aly-2	4	?type=Experiment&target.label=aly-2
br	4	?type=Experiment&target.label=br
daf-16	4	?type=Experiment&target.label=daf-16
eve	4	?type=Experiment&target.label=eve
fd59A	4	?type=Experiment&target.label=fd59A
fos-1	4	?type=Experiment&target.label=fos-1
hlh-30	4	?type=Experiment&target.label=hlh-30
kah	4	?type=Experiment&target.label=kah
lin-13	4	?type=Experiment&target.label=lin-13
lin-39	4	?type=Experiment&target.label=lin-39
nhr-12	4	?type=Experiment&target.label=nhr-12
nhr-28	4	?type=Experiment&target.label=nhr-28
nhr-76	4	?type=Experiment&target.label=nhr-76
nhr-77	4	?type=Experiment&target.label=nhr-77
pb	4	?type=Experiment&target.label=pb
sens	4	?type=Experiment&target.label=sens
skn-1	4	?type=Experiment&target.label=skn-1
trh	4	?type=Experiment&target.label=trh
twi	4	?type=Experiment&target.label=twi
unc-39	4	?type=Experiment&target.label=unc-39
usp	4	?type=Experiment&target.label=usp
zag-1	4	?type=Experiment&target.label=zag-1
zfh2	4	?type=Experiment&target.label=zfh2
AARS	3	?type=Experiment&target.label=AARS
AATF	3	?type=Experiment&target.label=AATF
ABCF1	3	?type=Experiment&target.label=ABCF1
ADAR	3	?type=Experiment&target.label=ADAR
AKAP8	3	?type=Experiment&target.label=AKAP8
APEX1	3	?type=Experiment&target.label=APEX1
ASH2L	3	?type=Experiment&target.label=ASH2L
BCCIP	3	?type=Experiment&target.label=BCCIP
BRF2	3	?type=Experiment&target.label=BRF2
CD3EAP	3	?type=Experiment&target.label=CD3EAP
CDC40	3	?type=Experiment&target.label=CDC40
CEBPD	3	?type=Experiment&target.label=CEBPD
CG8290	3	?type=Experiment&target.label=CG8290
CG8478	3	?type=Experiment&target.label=CG8478
CKAP4	3	?type=Experiment&target.label=CKAP4
CLOCK	3	?type=Experiment&target.label=CLOCK
CNOT7	3	?type=Experiment&target.label=CNOT7
CSTF2	3	?type=Experiment&target.label=CSTF2
DDX24	3	?type=Experiment&target.label=DDX24
DDX42	3	?type=Experiment&target.label=DDX42
DDX51	3	?type=Experiment&target.label=DDX51
DKC1	3	?type=Experiment&target.label=DKC1
DNMT3B	3	?type=Experiment&target.label=DNMT3B
EEF2	3	?type=Experiment&target.label=EEF2
EHMT2	3	?type=Experiment&target.label=EHMT2
EIF3G	3	?type=Experiment&target.label=EIF3G
EIF4B	3	?type=Experiment&target.label=EIF4B
EIF4E	3	?type=Experiment&target.label=EIF4E
EIF4G1	3	?type=Experiment&target.label=EIF4G1
ELK4	3	?type=Experiment&target.label=ELK4
ERG	3	?type=Experiment&target.label=ERG
ETV4	3	?type=Experiment&target.label=ETV4
FKBP4	3	?type=Experiment&target.label=FKBP4
FOXA3	3	?type=Experiment&target.label=FOXA3
FOXK1	3	?type=Experiment&target.label=FOXK1
FOXP4	3	?type=Experiment&target.label=FOXP4
GABPB1	3	?type=Experiment&target.label=GABPB1
GARS	3	?type=Experiment&target.label=GARS
GEMIN5	3	?type=Experiment&target.label=GEMIN5
GMEB1	3	?type=Experiment&target.label=GMEB1
GNL3	3	?type=Experiment&target.label=GNL3
GPKOW	3	?type=Experiment&target.label=GPKOW
GRSF1	3	?type=Experiment&target.label=GRSF1
H2BK20ac	3	?type=Experiment&target.label=H2BK20ac
HDAC8	3	?type=Experiment&target.label=HDAC8
HEY1	3	?type=Experiment&target.label=HEY1
HINFP	3	?type=Experiment&target.label=HINFP
HMG20A	3	?type=Experiment&target.label=HMG20A
HMGXB4	3	?type=Experiment&target.label=HMGXB4
HNF4G	3	?type=Experiment&target.label=HNF4G
HNRNPA0	3	?type=Experiment&target.label=HNRNPA0
HNRNPA2B1	3	?type=Experiment&target.label=HNRNPA2B1
HNRNPLL	3	?type=Experiment&target.label=HNRNPLL
HOXA7	3	?type=Experiment&target.label=HOXA7
Hr78	3	?type=Experiment&target.label=Hr78
ID3	3	?type=Experiment&target.label=ID3
IKZF2	3	?type=Experiment&target.label=IKZF2
KDM4B	3	?type=Experiment&target.label=KDM4B
KDM5B	3	?type=Experiment&target.label=KDM5B
KHDRBS1	3	?type=Experiment&target.label=KHDRBS1
KLF10	3	?type=Experiment&target.label=KLF10
KLF13	3	?type=Experiment&target.label=KLF13
KLF16	3	?type=Experiment&target.label=KLF16
KLF9	3	?type=Experiment&target.label=KLF9
LEF1	3	?type=Experiment&target.label=LEF1
MAFG	3	?type=Experiment&target.label=MAFG
