,title,author
0,"Ready Player One (Ready Player One, #1)",Ernest Cline
1,The Martian,Andy Weir
2,"Old Man's War (Old Man's War, #1)",John Scalzi
3,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins
4,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey
5,"Wool Omnibus (Silo, #1)",Hugh Howey
6,"Red Rising (Red Rising Saga, #1)",Pierce Brown
7,The Road,Cormac McCarthy
8,Anathem,Neal Stephenson
9,World War Z: An Oral History of the Zombie War,Max Brooks
10,"Altered Carbon (Takeshi Kovacs, #1)",Richard K. Morgan
11,The Windup Girl,Paolo Bacigalupi
12,Cloud Atlas,David Mitchell
13,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood
14,"Revelation Space (Revelation Space, #1)",Alastair Reynolds
15,"Pandora's Star (Commonwealth Saga, #1)",Peter F. Hamilton
16,"Ancillary Justice (Imperial Radch, #1)",Ann Leckie
17,11/22/63,Stephen King
18,Never Let Me Go,Kazuo Ishiguro
19,"Perdido Street Station (New Crobuzon, #1)",China Miéville
20,The Three-Body Problem (Remembrance of Earth’s Past #1),Liu Cixin
21,"Spin (Spin, #1)",Robert Charles Wilson
22,"Catching Fire (The Hunger Games, #2)",Suzanne Collins
23,"The Ghost Brigades (Old Man's War, #2)",John Scalzi
24,Redshirts,John Scalzi
25,"Divergent (Divergent, #1)",Veronica Roth
26,Seveneves,Neal Stephenson
27,The City & the City,China Miéville
28,"Blindsight (Firefall, #1)",Peter Watts
29,"Mockingjay (The Hunger Games, #3)",Suzanne Collins
30,"Daemon (Daemon, #1)",Daniel Suarez
31,The Time Traveler's Wife,Audrey Niffenegger
32,Reamde,Neal Stephenson
33,"Caliban's War (The Expanse, #2)",James S.A. Corey
34,"Golden Son (Red Rising Saga, #2)",Pierce Brown
35,"Little Brother (Little Brother, #1)",Cory Doctorow
36,"The Passage (The Passage, #1)",Justin Cronin
37,"Ilium (Ilium, #1)",Dan Simmons
38,"Quicksilver (The Baroque Cycle, #1)",Neal Stephenson
39,Chasm City,Alastair Reynolds
40,"Pattern Recognition (Blue Ant, #1)",William Gibson
41,House of Suns,Alastair Reynolds
42,Embassytown,China Miéville
43,Station Eleven,Emily St. John Mandel
44,"Matter (Culture, #8)",Iain M. Banks
45,"Annihilation (Southern Reach, #1)",Jeff VanderMeer
46,"Redemption Ark (Revelation Space, #2)",Alastair Reynolds
47,"The Quantum Thief (Jean le Flambeur, #1)",Hannu Rajaniemi
48,"The Year of the Flood (MaddAddam, #2)",Margaret Atwood
49,"The Last Colony (Old Man's War, #3)",John Scalzi
50,Accelerando,Charles Stross
51,The Algebraist,Iain M. Banks
52,1Q84 (1Q84 #1-3),Haruki Murakami
53,Pushing Ice,Alastair Reynolds
54,"Broken Angels (Takeshi Kovacs, #2)",Richard K. Morgan
55,Surface Detail (Culture #9),Iain M. Banks
56,Dark Matter,Blake Crouch
57,The Yiddish Policemen's Union,Michael Chabon
58,"Woken Furies (Takeshi Kovacs, #3)",Richard K. Morgan
59,"Blackout (All Clear, #1)",Connie Willis
60,Fuzzy Nation (Fuzzy Sapiens #7),John Scalzi
61,"The Girl with All the Gifts (The Girl with All the Gifts, #1)",M.R. Carey
62,"Robopocalypse (Robopocalypse, #1)",Daniel H. Wilson
63,"Freedom™ (Daemon, #2)",Daniel Suarez
64,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky Chambers
65,"The Scar (New Crobuzon, #2)",China Miéville
66,Under the Dome,Stephen King
67,"Abaddon's Gate (The Expanse, #3)",James S.A. Corey
68,"Look to Windward (Culture, #7)",Iain M. Banks
69,Rainbows End,Vernor Vinge
70,"Dust (Silo, #3)",Hugh Howey
71,"The Prefect (Prefect Dreyfus Emergency, #1)",Alastair Reynolds
72,The Dreaming Void,Peter F. Hamilton
73,"The Confusion (The Baroque Cycle, #2)",Neal Stephenson
74,"14 (Threshold, #1)",Peter Clines
75,"Shadow of the Hegemon (The Shadow Series, #2)",Orson Scott Card
76,"The System of the World (The Baroque Cycle, #3)",Neal Stephenson
77,"Olympos (Ilium, #2)",Dan Simmons
78,"All Clear (All Clear, #2)",Connie Willis
79,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin
80,Thirteen,Richard K. Morgan
81,The Years of Rice and Salt,Kim Stanley Robinson
82,"Shift (Shift, #1-3; Silo, #2)",Hugh Howey
83,"Nexus (Nexus, #1)",Ramez Naam
84,"The Long Earth (The Long Earth, #1)",Terry Pratchett
85,"Absolution Gap (Revelation Space, #3)",Alastair Reynolds
86,"Gridlinked (Agent Cormac #1, Polity Universe #3)",Neal Asher
87,"Singularity Sky (Eschaton, #1)",Charles Stross
88,"The Atrocity Archives (Laundry Files, #1)",Charles Stross
89,The Speed of Dark,Elizabeth Moon
90,"Diplomatic Immunity (Vorkosigan Saga, #13)",Lois McMaster Bujold
91,The Temporal Void,Peter F. Hamilton
92,"Boneshaker (The Clockwork Century, #1)",Cherie Priest
93,"Hominids (Neanderthal Parallax, #1)",Robert J. Sawyer
94,The Android's Dream (The Android's Dream #1),John Scalzi
95,2312,Kim Stanley Robinson
96,"Lock In (Lock In, #1)",John Scalzi
97,"Ancillary Sword (Imperial Radch, #2)",Ann Leckie
98,"The Skinner (Spatterjay, #1)",Neal Asher
99,The Gone-Away World,Nick Harkaway
100,Calculating God,Robert J. Sawyer
101,"Spook Country (Blue Ant, #2)",William Gibson
102,"Children of Time (Children of Time, #1)",Adrian Tchaikovsky
103,"The Maze Runner (The Maze Runner, #1)",James Dashner
104,"River of Gods (India 2047, #1)",Ian McDonald
105,"Morning Star (Red Rising Saga, #3)",Pierce Brown
