,pubnum,backnum
202201,1143607.7480603554,10.0
202202,990151.6351651326,42.03493095396227
202203,1276342.3207530286,31523.029391182645
202204,1321907.1212947606,142578.7404915155
202205,1643149.2894550734,367909.4951796824
202206,1765384.8656957815,439008.9651926173
202207,1864638.903307157,412449.7332601537
202208,1892543.4867091372,280468.6805708013
202209,1908803.9236406877,234782.80939375228
202210,1974958.2059865745,221593.60808387236
202211,2047711.1633569305,229397.74041540784
202212,2206557.8018485196,354143.6210013748
202301,2354221.6661476623,344158.4167661313
202302,2385071.5352277122,189896.96709633392
202303,2440475.8965481366,212911.8272792591
202304,2498490.527469687,212911.8272792591
202305,2545869.1036413265,194841.35829188977
202306,2591414.7833561925,189896.96709633392
202307,2655448.185347266,212911.8272792591
202308,2719022.998168412,212911.8272792591
202309,2782419.1218848,212911.8272792591
202310,2833448.0741455066,194841.35829188977
202311,2881495.0572321294,189896.96709633392
202312,2947227.7876322665,212911.8272792591
