Conso,DEP
5.541615533980582,76
5.802587426326129,33
4.641269961977186,88
5.8588706896551725,40
5.458144444444445,11
4.8372448036951505,59
5.014950724637681,29
6.475438172043011,83
5.428883838383838,50
5.30948033126294,57
5.172253521126761,56
6.915083783783784,13
6.7475,84
5.482130023640662,14
5.679626146788991,44
6.203446691176471,78
4.865966019417477,62
6.2000877513711155,31
5.719411764705883,34
6.670946428571428,82
5.463898148148148,81
4.246866666666667,65
4.897219827586207,80
5.994825882352942,95
5.3351503759398495,68
6.205377071823205,77
5.392006976744186,35
5.078156716417911,89
5.1544,36
4.481677966101696,43
4.88820731707317,71
5.183100490196078,54
5.367348178137652,85
5.008235820895522,73
4.5376127450980395,63
6.323896907216495,60
4.913648275862069,42
6.036985576923076,37
6.120412563667233,74
6.188678132678131,38
6.054984641638225,69
4.710999999999999,39
4.1217096774193545,94
5.792052287581699,91
5.7737647058823525,53
6.05456420233463,45
5.940626198083067,27
5.323762114537446,25
6.147705882352941,28
3.7893529411764706,48
4.944297222222223,66
3.728922580645161,93
5.71974384236453,26
5.1455660377358505,22
5.000509652509653,21
5.282463768115941,86
5.856759259259259,17
6.086538461538462,30
5.508662420382165,10
4.686652542372881,70
6.200411067193675,51
3.4466338028169012,92
5.315877049180328,24
5.07289552238806,90
5.085054945054945,58
5.7984558823529415,41
4.820351063829786,55
5.400409836065573,32
4.714399999999999,15
5.226880434782609,18
4.6802027027027036,52
5.583025210084034,67
5.974051792828686,49
5.1614,64
4.896759259259259,16
4.585181818181819,79
5.445549019607845,47
5.23614074074074,87
4.963729166666667,46
3.935847826086958,23
5.2917210884353745,61
4.593100775193799,12
5.090629310344827,19
5.734508287292816,72
2.98975,75
