,Date,Heure,Consommation (MW)
0,2022-12-08,00:00,63028.617
1,2022-12-08,00:15,62377.496
2,2022-12-08,00:30,60382.48
3,2022-12-08,00:45,59399.277
4,2022-12-08,01:00,58877.02
5,2022-12-08,01:15,59168.508
6,2022-12-08,01:30,58942.227
7,2022-12-08,01:45,59168.508
8,2022-12-08,02:00,58942.227
9,2022-12-08,02:15,59168.508
10,2022-12-08,02:30,58458.25
11,2022-12-08,02:45,58158.656
12,2022-12-08,03:00,57413.58
13,2022-12-08,03:15,57373.86
14,2022-12-08,03:30,56203.082
15,2022-12-08,03:45,56005.332
16,2022-12-08,04:00,56002.145
17,2022-12-08,04:15,55883.617
18,2022-12-08,04:30,55422.316
19,2022-12-08,04:45,55790.81
20,2022-12-08,05:00,56199.895
21,2022-12-08,05:15,57501.906
22,2022-12-08,05:30,57536.508
23,2022-12-08,05:45,58500.03
24,2022-12-08,06:00,59318.1
25,2022-12-08,06:15,61735.168
26,2022-12-08,06:30,63352.082
27,2022-12-08,06:45,64729.61
28,2022-12-08,07:00,65908.99
29,2022-12-08,07:15,66612.0
30,2022-12-08,07:30,67705.35
31,2022-12-08,07:45,68114.84
32,2022-12-08,08:00,69251.94
33,2022-12-08,08:15,69251.94
34,2022-12-08,08:30,69251.94
35,2022-12-08,08:45,69634.58
36,2022-12-08,09:00,69634.58
37,2022-12-08,09:15,69634.58
38,2022-12-08,09:30,69887.1
39,2022-12-08,09:45,69634.58
40,2022-12-08,10:00,69634.58
41,2022-12-08,10:15,69634.58
42,2022-12-08,10:30,69634.58
43,2022-12-08,10:45,69634.58
44,2022-12-08,11:00,69634.58
45,2022-12-08,11:15,69634.58
46,2022-12-08,11:30,69887.1
47,2022-12-08,11:45,69887.1
48,2022-12-08,12:00,69887.1
49,2022-12-08,12:15,69887.1
50,2022-12-08,12:30,69251.94
51,2022-12-08,12:45,68817.305
52,2022-12-08,13:00,68114.84
53,2022-12-08,13:15,67705.35
54,2022-12-08,13:30,67542.98
55,2022-12-08,13:45,67349.61
56,2022-12-08,14:00,67542.98
57,2022-12-08,14:15,67542.98
58,2022-12-08,14:30,66849.805
59,2022-12-08,14:45,67038.234
60,2022-12-08,15:00,67038.234
61,2022-12-08,15:15,66300.62
62,2022-12-08,15:30,66143.61
63,2022-12-08,15:45,65785.45
64,2022-12-08,16:00,65785.45
65,2022-12-08,16:15,65785.45
66,2022-12-08,16:30,65698.32
67,2022-12-08,16:45,66143.61
68,2022-12-08,17:00,66300.62
69,2022-12-08,17:15,67705.35
70,2022-12-08,17:30,68817.305
71,2022-12-08,17:45,69634.58
72,2022-12-08,18:00,69887.1
73,2022-12-08,18:15,69887.1
74,2022-12-08,18:30,70053.45
75,2022-12-08,18:45,70053.45
76,2022-12-08,19:00,70053.45
77,2022-12-08,19:15,70053.45
78,2022-12-08,19:30,70053.45
79,2022-12-08,19:45,69887.1
80,2022-12-08,20:00,69634.58
81,2022-12-08,20:15,69251.94
82,2022-12-08,20:30,67705.35
83,2022-12-08,20:45,66300.62
84,2022-12-08,21:00,66143.61
85,2022-12-08,21:15,65346.5
86,2022-12-08,21:30,65074.61
87,2022-12-08,21:45,64872.508
88,2022-12-08,22:00,63988.33
89,2022-12-08,22:15,63988.33
90,2022-12-08,22:30,64158.47
91,2022-12-08,22:45,65346.5
92,2022-12-08,23:00,65074.61
93,2022-12-08,23:15,64872.508
94,2022-12-08,23:30,64872.508
95,2022-12-08,23:45,64765.297
