start_month,lag_month,cp_num,pub_num,pr
202106,202106,26,49,0.08496732026143791
202106,202107,298,15622,0.9738562091503268
202106,202108,278,11357,0.9084967320261438
202106,202109,255,10308,0.8333333333333334
202106,202110,252,10342,0.8235294117647058
202106,202111,232,9005,0.7581699346405228
202106,202112,200,8119,0.6535947712418301
202106,202201,189,7104,0.6176470588235294
202106,202202,174,5791,0.5686274509803921
202106,202203,178,6219,0.5816993464052288
202106,202204,160,5556,0.5228758169934641
202106,202205,151,5599,0.4934640522875817
202106,202206,147,5466,0.4803921568627451
202106,202207,115,2789,0.3758169934640523
202106,202208,142,5635,0.46405228758169936
202106,202209,138,5025,0.45098039215686275
202106,202210,136,3326,0.4444444444444444
202106,202211,127,3955,0.4150326797385621
202107,202107,4979,102459,0.8514021887824897
202107,202108,5329,209791,0.9112517099863201
202107,202109,4961,193188,0.8483242134062927
202107,202110,4769,195467,0.8154924760601915
202107,202111,4562,181354,0.7800957592339262
202107,202112,3820,178050,0.6532147742818057
202107,202201,3547,145343,0.606532147742818
202107,202202,3280,120547,0.560875512995896
202107,202203,3263,131977,0.55796853625171
202107,202204,2994,110131,0.511969904240766
202107,202205,2881,117556,0.49264705882352944
202107,202206,2745,107851,0.469391244870041
202107,202207,2642,89680,0.4517783857729138
202107,202208,2619,95620,0.4478454172366621
202107,202209,2514,87598,0.429890560875513
202107,202210,2342,52024,0.40047879616963067
202107,202211,2322,64537,0.39705882352941174
202108,202108,9109,182359,0.9214040056645761
202108,202109,9144,322553,0.9249443657697755
202108,202110,8517,304843,0.861521343313777
202108,202111,8090,267472,0.8183289500303459
202108,202112,6544,246336,0.661946186526401
202108,202201,6044,204157,0.6113696135949828
202108,202202,5620,164259,0.5684806797491402
202108,202203,5522,191999,0.5585676714545822
202108,202204,5192,171959,0.5251871333198462
202108,202205,5052,174383,0.5110256928990492
202108,202206,4870,162873,0.49261582035201296
202108,202207,4801,158267,0.4856362532874772
202108,202208,4741,150079,0.4795670645357071
202108,202209,4561,137963,0.4613594982803965
202108,202210,4147,88123,0.4194820958931823
202108,202211,4046,90408,0.4092656281610358
202109,202109,8413,171431,0.9069642087106511
202109,202110,8343,320298,0.8994178525226391
202109,202111,7806,270233,0.8415265200517464
202109,202112,6303,244448,0.6794954721862871
202109,202201,5854,201679,0.6310909874946098
202109,202202,5371,161258,0.5790211297973265
202109,202203,5328,186882,0.574385510996119
202109,202204,4997,161427,0.5387020267356619
