iter	Passed	Remaining
0	3839	3835664
1	7727	3855897
2	12019	3994533
3	14943	3720883
4	18072	3596402
5	20825	3450029
6	23645	3354269
7	26747	3316726
8	29236	3219309
9	32162	3184131
10	34586	3109615
11	37379	3077599
12	40262	3056846
13	42950	3024909
14	45298	2974622
15	47356	2912435
16	49866	2883467
17	52112	2843052
18	54526	2815270
19	56503	2768654
20	58543	2729248
21	60811	2703349
22	63479	2696478
23	65904	2680102
24	68254	2661936
25	70449	2639152
26	72758	2621990
27	74982	2602964
28	77283	2587655
29	79406	2567478
30	81656	2552415
31	83821	2535610
32	86043	2521324
33	88265	2507786
34	90444	2493692
35	92582	2479165
36	94788	2467069
37	96990	2455384
38	99178	2443848
39	101215	2429180
40	103395	2418448
41	105628	2409332
42	107832	2399906
43	110045	2390977
44	112205	2381245
45	114458	2373768
46	116564	2363523
47	118706	2354338
48	120856	2345609
49	123034	2337651
50	125111	2328051
51	127247	2319814
52	129467	2313314
53	131493	2303571
54	133669	2296681
55	135807	2289334
56	137900	2281405
57	139950	2272994
58	142043	2265478
59	144127	2257989
60	146263	2251495
61	148361	2244566
62	150498	2238366
63	152550	2231045
64	154636	2224387
65	156761	2218412
66	158896	2212688
67	161002	2206684
68	163039	2199848
69	165089	2193330
70	167131	2186836
71	169202	2180830
72	171229	2174379
73	173243	2167880
74	175416	2163470
75	177469	2157653
76	179464	2151245
77	181551	2146029
78	183633	2140841
79	185680	2135324
80	187742	2130063
81	189857	2125474
82	191959	2120803
83	194014	2115685
84	196076	2110710
85	198151	2105939
86	200220	2101169
87	202240	2095947
88	204308	2091288
89	206453	2087479
90	208498	2082698
91	210521	2077751
92	212547	2072907
93	214552	2067919
94	216600	2063407
95	218642	2058880
96	220780	2055304
97	222824	2050896
98	224844	2046312
99	226905	2042146
100	229003	2038354
101	231071	2034332
102	233089	2029915
103	235183	2026197
104	237232	2022126
105	239264	2017949
106	241354	2014294
107	243418	2010455
108	245504	2006833
109	247554	2002941
110	249610	1999133
111	251736	1995907
112	253768	1991970
113	255828	1988283
114	257955	1985132
115	260034	1981639
116	262153	1978474
117	264244	1975116
118	266407	1972307
119	268515	1969110
120	270611	1965844
121	272812	1963356
122	274945	1960380
123	277082	1957450
124	279263	1954841
125	281365	1951694
126	283476	1948621
127	285673	1946151
128	287726	1942711
129	289975	1940602
130	292121	1937816
131	294538	1936811
132	296627	1933655
133	298672	1930224
134	301096	1929248
135	303601	1928765
136	305938	1927191
137	308280	1925637
138	310742	1924815
139	313347	1924846
140	316028	1925306
141	318635	1925279
142	321432	1926347
143	324239	1927424
144	326839	1927225
145	329290	1926125
146	332304	1928267
147	335843	1933372
148	338956	1935919
149	342134	1938762
150	345555	1942889
151	348071	1941870
152	350838	1942226
153	353571	1942344
154	356147	1941579
155	359575	1945396
156	362290	1945294
157	365298	1946719
158	368217	1947614
159	371964	1952814
160	374986	1954123
161	378431	1957566
162	381178	1957338
163	384199	1958479
164	386971	1958311
165	390845	1963643
166	394543	1967992
167	398064	1971365
168	401582	1974645
169	404973	1977222
170	408014	1978037
171	410878	1977947
172	414678	1982309
173	417528	1982062
174	421430	1986745
175	424112	1985616
176	427821	1989248
177	431451	1992435
178	434568	1993187
179	438103	1995805
180	442126	2000562
181	444772	1999032
182	447342	1997152
183	450992	2000051
184	453829	1999304
185	458137	2004968
186	461832	2007861
187	464784	2007472
188	467987	2008135
189	472601	2014773
190	475907	2015753
191	479668	2018605
192	482076	2015728
193	485781	2018246
194	488868	2018150
195	491600	2016564
196	493708	2012425
197	496683	2011817
198	499315	2009806
199	501753	2007014
200	504526	2005554
201	506917	2002574
202	509483	2000285
203	511740	1996793
204	514295	1994462
205	516577	1991078
206	518795	1987463
207	521075	1984094
208	523619	1981738
209	526276	1979802
210	528638	1976758
211	531105	1974108
212	533435	1970954
213	535633	1967328
214	537984	1964270
215	540424	1961541
216	542736	1958351
217	545298	1956072
218	547984	1954227
219	550197	1950698
220	552483	1947442
221	554812	1944341
222	556856	1940257
223	559149	1937052
224	561474	1933966
225	563669	1930443
226	565999	1927391
227	568262	1924116
228	570374	1920343
229	572597	1916957
230	574670	1913079
231	576838	1909534
232	578944	1905796
233	581094	1902214
234	583281	1898768
235	585439	1895237
236	587583	1891671
237	589752	1888199
238	591778	1884282
239	594004	1881013
240	596216	1877712
241	598374	1874248
242	600517	1870748
243	602570	1866980
244	604715	1863510
245	606827	1859951
246	609038	1856704
247	611171	1853229
248	613299	1849749
249	615513	1846540
250	617663	1843146
251	619807	1839745
